game_id,random_seed,player_count,bot_profile,final_score,final_population,final_renown,final_placed_tiles,final_upgraded_tiles,final_basic_population,final_basic_renown,final_upgraded_population,final_upgraded_renown,final_warehouse_total,final_warehouse_wood,final_warehouse_stone,final_warehouse_metal,final_warehouse_food,final_warehouse_herbs,final_warehouse_goods,final_strain_tokens,final_active_burdens,total_burdens_revealed,total_burden_applications,total_burden_applications_with_no_valid_target,total_strain_attempted,total_strain_placed,total_strain_prevented_by_supported,total_strain_blocked_by_cap,total_strain_removed,total_upgrade_actions,actions_spent_resolving_burdens,actions_spent_removing_strain,max_tiles_at_1_strain,max_tiles_at_2_strain,max_overstrained_tiles,rounds_with_at_least_one_overstrained_tile,arrivals_completed,arrivals_expired,score_per_player,final_overstrained_tiles,total_place_actions,total_activate_actions,total_production_activations,resource_node_activations,strain_relief_activations,burden_resolution_activations,arrival_timer_activations,steward_power_uses,goods_substitutions_used,placement_discounts_used,upgrade_discounts_used,final_resource_tiles,placed_resource_tiles,upgraded_resource_tiles,final_housing_tiles,placed_housing_tiles,upgraded_housing_tiles,final_travel_tiles,placed_travel_tiles,upgraded_travel_tiles,final_crafting_tiles,placed_crafting_tiles,upgraded_crafting_tiles,final_merchant_tiles,placed_merchant_tiles,upgraded_merchant_tiles,final_social_tiles,placed_social_tiles,upgraded_social_tiles,final_wellbeing_tiles,placed_wellbeing_tiles,upgraded_wellbeing_tiles,final_special_tiles,placed_special_tiles,upgraded_special_tiles,production_gained_wood,production_capped_wood,production_gained_stone,production_capped_stone,production_gained_metal,production_capped_metal,production_gained_food,production_capped_food,production_gained_herbs,production_capped_herbs,production_gained_goods,production_capped_goods
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,balanced,118,56,70,23,2,56,55,0,0,29,15,2,7,5,0,0,1,1,3,3,3,3,1,2,0,0,2,2,0,1,0,0,0,5,0,118,0,23,16,16,16,0,0,0,2,1,1,0,3,3,2,4,4,0,5,5,0,0,0,0,1,1,0,3,3,0,2,2,0,5,5,0,24,24,0,0,0,0,31,1,0,0,0,0
sim-balanced-2p-001,playtester-bot-balance-2026-06-13-deal-01-2p,2,balanced,183,78,117,38,12,25,65,53,22,25,4,3,6,10,0,2,3,1,6,7,5,6,3,3,0,0,12,5,0,3,0,0,0,7,2,92,0,38,36,31,31,0,0,5,4,0,4,3,8,8,8,4,4,4,16,16,0,0,0,0,0,0,0,3,3,0,1,1,0,6,6,0,18,6,13,14,15,3,52,5,3,0,26,0
sim-balanced-3p-001,playtester-bot-balance-2026-06-13-deal-01-3p,3,balanced,189,108,99,40,12,52,47,56,22,21,13,1,3,1,0,3,9,0,12,12,5,19,15,4,0,4,12,12,2,7,1,0,0,10,3,63,0,40,68,62,62,2,0,0,9,0,2,2,8,8,8,7,7,4,14,14,0,0,0,0,0,0,0,3,3,0,1,1,0,7,7,0,46,2,21,22,34,29,90,17,12,0,55,1
sim-balanced-4p-001,playtester-bot-balance-2026-06-13-deal-01-4p,4,balanced,282,150,170,44,17,64,67,86,43,28,1,3,6,9,3,6,13,2,19,21,12,29,20,9,0,5,17,17,5,11,2,0,0,7,7,71,0,44,75,62,62,5,0,0,11,0,2,2,9,9,9,8,8,6,18,18,2,0,0,0,0,0,0,2,2,0,0,0,0,7,7,0,36,1,44,10,49,5,135,11,9,0,60,0
sim-balanced-1p-002,playtester-bot-balance-2026-06-13-deal-02-1p,1,balanced,111,49,68,23,3,36,52,13,1,30,15,3,10,2,0,0,0,1,4,4,3,2,0,2,0,0,3,3,0,0,0,0,0,4,0,111,0,22,16,16,16,0,0,0,2,2,1,0,3,3,2,4,4,1,6,6,0,0,0,0,2,2,0,3,3,0,1,1,0,4,3,0,26,22,0,0,0,0,31,1,0,0,0,0
sim-balanced-2p-002,playtester-bot-balance-2026-06-13-deal-02-2p,2,balanced,103,70,67,23,6,70,37,0,0,43,14,11,3,5,9,1,5,4,7,10,9,7,5,2,0,0,6,3,0,1,2,0,0,6,0,52,0,23,58,33,33,0,0,25,4,0,4,0,6,6,6,6,6,0,5,5,0,0,0,0,0,0,0,1,1,0,1,1,0,4,4,0,40,17,9,15,14,2,46,4,18,0,0,0
sim-balanced-3p-002,playtester-bot-balance-2026-06-13-deal-02-3p,3,balanced,253,119,170,45,20,47,67,72,58,25,0,11,0,12,0,2,18,0,13,16,8,23,19,3,1,1,20,11,0,6,4,4,4,7,6,84,4,45,64,57,57,0,0,0,8,7,3,3,9,9,9,5,5,4,19,19,6,1,1,0,2,2,0,3,3,1,0,0,0,6,6,0,24,6,54,8,48,31,98,6,3,0,64,1
sim-balanced-4p-002,playtester-bot-balance-2026-06-13-deal-02-4p,4,balanced,183,75,168,44,14,65,86,10,37,12,0,0,3,8,0,1,18,4,17,20,8,34,22,12,0,3,14,11,1,8,3,2,2,11,6,46,2,44,60,50,50,1,0,0,10,3,5,2,9,9,9,3,3,1,18,18,4,0,0,0,1,1,0,3,3,0,0,0,0,10,10,0,33,0,27,16,35,31,72,3,0,0,50,0
sim-balanced-1p-003,playtester-bot-balance-2026-06-13-deal-03-1p,1,balanced,105,51,80,24,2,51,65,0,0,27,13,8,5,1,0,0,7,2,4,4,0,10,9,1,0,2,2,2,2,7,0,0,0,4,0,105,0,23,18,16,16,2,0,0,3,4,3,0,3,3,2,4,4,0,5,5,0,0,0,0,1,1,0,4,4,0,2,2,0,5,4,0,32,16,0,0,0,0,29,3,0,0,0,0
sim-balanced-2p-003,playtester-bot-balance-2026-06-13-deal-03-2p,2,balanced,155,78,97,40,9,39,64,39,3,43,12,3,9,4,15,0,4,2,7,8,8,4,4,0,0,0,9,3,0,4,0,0,0,5,2,78,0,40,43,38,38,0,0,0,4,0,3,1,6,6,6,5,5,3,19,19,0,0,0,0,0,0,0,2,2,0,4,4,0,4,4,0,37,4,24,9,19,3,53,1,41,1,0,0
sim-balanced-3p-003,playtester-bot-balance-2026-06-13-deal-03-3p,3,balanced,269,145,140,39,18,73,55,72,40,16,5,2,0,6,0,3,8,0,13,17,9,20,15,5,0,3,18,11,3,5,0,2,5,10,2,90,1,39,69,58,52,3,0,0,8,0,1,1,9,9,9,8,8,5,12,12,4,0,0,0,0,0,0,1,1,0,1,1,0,8,8,0,29,1,42,3,28,2,107,12,11,0,48,0
sim-balanced-4p-003,playtester-bot-balance-2026-06-13-deal-03-4p,4,balanced,144,35,173,33,18,35,56,0,72,25,0,0,15,5,1,4,17,5,18,20,10,33,22,11,0,5,18,13,3,8,3,2,3,6,8,36,2,33,68,46,46,3,0,10,7,0,3,1,9,9,9,2,2,0,13,13,9,2,2,0,0,0,0,2,2,0,0,0,0,5,5,0,30,0,21,12,45,31,48,0,3,0,48,0
sim-balanced-1p-004,playtester-bot-balance-2026-06-13-deal-04-1p,1,balanced,79,34,67,26,2,34,52,0,0,24,15,3,3,2,1,0,2,3,5,6,6,2,2,0,0,0,2,2,0,2,0,0,0,3,2,79,0,26,15,15,15,0,0,0,3,0,2,0,3,3,2,3,3,0,9,9,0,1,1,0,1,1,0,4,4,0,2,2,0,3,3,0,27,34,0,0,0,0,28,2,0,0,0,0
sim-balanced-2p-004,playtester-bot-balance-2026-06-13-deal-04-2p,2,balanced,136,65,97,34,13,15,37,50,30,11,0,4,0,0,4,3,4,3,8,11,8,8,4,4,0,0,13,5,0,4,0,0,0,8,0,68,0,34,39,31,31,0,0,2,5,0,0,1,8,8,8,4,4,4,15,15,1,0,0,0,0,0,0,1,1,0,1,1,0,5,5,0,11,7,22,8,19,1,54,1,6,0,26,0
sim-balanced-3p-004,playtester-bot-balance-2026-06-13-deal-04-3p,3,balanced,272,156,142,46,11,156,79,0,18,12,0,4,0,1,1,6,7,2,11,13,6,17,12,4,1,2,11,9,0,6,1,1,1,9,1,91,0,46,66,52,52,0,0,12,9,3,3,1,9,9,9,11,11,0,15,15,2,1,1,0,2,2,0,0,0,0,0,0,0,8,8,0,30,0,21,12,32,11,80,16,0,0,59,3
sim-balanced-4p-004,playtester-bot-balance-2026-06-13-deal-04-4p,4,balanced,207,87,160,40,16,62,59,25,56,35,0,3,6,15,0,11,17,1,14,16,7,29,25,4,0,3,16,13,1,7,3,2,2,8,7,52,2,40,72,71,71,1,0,0,11,0,2,1,9,9,9,3,3,1,18,18,4,0,0,0,0,0,0,3,3,2,0,0,0,7,7,0,19,0,37,27,53,37,90,12,0,0,75,13
