game_id,random_seed,player_count,bot_profile,final_score,final_population,final_renown,final_placed_tiles,final_upgraded_tiles,final_basic_population,final_basic_renown,final_upgraded_population,final_upgraded_renown,final_warehouse_total,final_warehouse_wood,final_warehouse_stone,final_warehouse_metal,final_warehouse_food,final_warehouse_herbs,final_warehouse_goods,final_strain_tokens,final_active_burdens,total_burdens_revealed,total_burden_applications,total_burden_applications_with_no_valid_target,total_strain_attempted,total_strain_placed,total_strain_prevented_by_supported,total_strain_blocked_by_cap,total_strain_removed,total_upgrade_actions,actions_spent_resolving_burdens,actions_spent_removing_strain,max_tiles_at_1_strain,max_tiles_at_2_strain,max_overstrained_tiles,rounds_with_at_least_one_overstrained_tile,arrivals_completed,arrivals_expired,score_per_player,final_overstrained_tiles,total_place_actions,total_activate_actions,total_production_activations,resource_node_activations,strain_relief_activations,burden_resolution_activations,arrival_timer_activations,steward_power_uses,goods_substitutions_used,placement_discounts_used,upgrade_discounts_used,final_resource_tiles,placed_resource_tiles,upgraded_resource_tiles,final_housing_tiles,placed_housing_tiles,upgraded_housing_tiles,final_travel_tiles,placed_travel_tiles,upgraded_travel_tiles,final_crafting_tiles,placed_crafting_tiles,upgraded_crafting_tiles,final_merchant_tiles,placed_merchant_tiles,upgraded_merchant_tiles,final_social_tiles,placed_social_tiles,upgraded_social_tiles,final_wellbeing_tiles,placed_wellbeing_tiles,upgraded_wellbeing_tiles,final_special_tiles,placed_special_tiles,upgraded_special_tiles,production_gained_wood,production_capped_wood,production_gained_stone,production_capped_stone,production_gained_metal,production_capped_metal,production_gained_food,production_capped_food,production_gained_herbs,production_capped_herbs,production_gained_goods,production_capped_goods
sim-balanced-1p-001,playtester-bot-balance-2026-06-13-deal-01-1p,1,balanced,140,103,45,18,2,103,30,0,0,21,15,1,0,4,1,0,1,1,3,3,2,1,1,0,0,0,2,2,0,1,0,0,0,5,0,140,0,18,21,21,21,0,0,0,2,0,1,0,3,3,2,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,5,5,0,16,44,0,0,2,0,39,1,0,0,0,0
sim-balanced-2p-001,playtester-bot-balance-2026-06-13-deal-01-2p,2,balanced,108,34,102,24,13,34,25,0,47,75,15,15,15,15,15,0,5,3,6,7,2,9,5,4,0,0,13,3,0,5,0,0,0,8,2,54,0,24,42,39,39,0,0,0,4,0,1,2,6,6,6,3,3,0,8,8,7,2,2,0,0,0,0,0,0,0,1,1,0,4,4,0,37,8,25,23,25,7,30,16,24,0,0,0
sim-balanced-3p-001,playtester-bot-balance-2026-06-13-deal-01-3p,3,balanced,193,145,82,25,12,104,30,41,22,30,2,1,7,9,0,11,14,1,12,13,7,20,18,2,0,2,12,11,0,9,1,1,3,7,4,64,1,25,75,66,66,0,0,9,8,0,2,2,7,7,7,10,10,3,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,33,3,21,28,50,27,98,17,0,0,48,28
sim-balanced-4p-001,playtester-bot-balance-2026-06-13-deal-01-4p,4,balanced,224,109,181,36,22,86,45,23,91,51,15,10,0,15,11,0,15,6,19,21,13,29,22,7,0,5,22,13,3,9,3,0,0,9,4,56,0,36,85,77,77,3,0,4,10,0,2,2,9,9,9,7,7,2,10,10,10,0,0,0,0,0,0,2,2,1,1,1,0,7,7,0,53,61,44,10,47,1,112,3,42,0,18,0
sim-balanced-1p-002,playtester-bot-balance-2026-06-13-deal-02-1p,1,balanced,141,84,65,21,3,84,45,0,5,16,13,0,2,0,0,1,1,1,4,4,3,2,1,1,0,0,3,3,0,1,0,0,0,4,0,141,0,20,18,18,18,0,0,0,2,3,1,0,3,3,2,7,7,0,3,3,1,0,0,0,2,2,0,0,0,0,1,1,0,5,4,0,22,32,0,0,0,0,33,3,0,0,0,0
sim-balanced-2p-002,playtester-bot-balance-2026-06-13-deal-02-2p,2,balanced,207,128,115,30,15,105,30,23,55,20,13,2,1,4,0,0,6,4,7,9,6,14,11,3,0,1,15,3,1,6,0,2,1,5,3,104,0,30,46,45,45,1,0,0,4,0,3,1,7,7,6,9,9,2,8,8,7,0,0,0,0,0,0,0,0,0,1,1,0,5,5,0,45,60,15,15,18,2,70,0,0,0,0,0
sim-balanced-3p-002,playtester-bot-balance-2026-06-13-deal-02-3p,3,balanced,339,193,186,36,29,54,25,139,116,23,0,4,4,7,5,3,17,1,13,16,9,22,18,3,1,1,29,12,0,5,2,3,5,6,7,113,3,36,64,64,64,0,0,0,8,0,0,1,9,9,9,11,11,9,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,30,10,56,0,54,18,144,1,8,0,51,26
sim-balanced-4p-002,playtester-bot-balance-2026-06-13-deal-02-4p,4,balanced,244,168,116,31,15,107,55,61,16,34,7,3,3,10,1,10,14,2,17,18,9,28,18,10,0,3,15,13,3,9,1,1,5,13,4,61,1,31,74,69,69,3,0,0,8,0,3,2,9,9,9,8,8,5,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,11,11,0,49,6,24,16,33,46,118,3,3,0,74,2
sim-balanced-1p-003,playtester-bot-balance-2026-06-13-deal-03-1p,1,balanced,95,40,79,22,6,40,40,0,24,26,15,0,3,6,1,1,9,1,4,4,0,10,9,1,0,0,6,3,0,7,2,0,0,4,0,95,0,21,15,15,15,0,0,0,3,0,3,0,3,3,2,3,3,0,6,6,4,0,0,0,0,0,0,3,3,0,2,2,0,5,4,0,25,20,0,0,0,0,27,3,0,0,0,0
sim-balanced-2p-003,playtester-bot-balance-2026-06-13-deal-03-2p,2,balanced,138,89,67,22,16,10,25,79,27,40,15,13,1,6,5,0,3,2,7,8,8,3,3,0,0,0,16,3,0,3,0,0,0,6,1,69,0,22,54,52,52,0,0,0,4,0,3,1,6,6,6,5,5,5,1,1,1,0,0,0,0,0,0,2,2,2,3,3,2,5,5,0,37,46,30,9,23,3,78,0,38,2,0,0
sim-balanced-3p-003,playtester-bot-balance-2026-06-13-deal-03-3p,3,balanced,240,150,136,35,20,71,50,79,41,53,15,12,3,8,15,0,11,4,13,15,8,15,13,2,0,0,20,7,0,7,2,1,1,11,1,80,1,35,76,74,74,0,0,0,8,1,2,1,9,9,8,9,9,5,7,7,7,0,0,0,2,2,0,0,0,0,0,0,0,8,8,0,40,74,54,3,36,2,111,7,40,1,16,0
sim-balanced-4p-003,playtester-bot-balance-2026-06-13-deal-03-4p,4,balanced,177,62,155,33,16,62,51,0,59,32,0,0,15,4,1,12,11,3,18,18,9,24,16,8,0,5,16,15,3,6,1,1,3,9,5,44,1,33,68,55,55,3,0,10,7,0,4,2,9,9,9,2,2,0,12,12,7,1,1,0,0,0,0,1,1,0,0,0,0,8,8,0,21,0,24,12,46,68,37,0,5,0,70,0
sim-balanced-1p-004,playtester-bot-balance-2026-06-13-deal-04-1p,1,balanced,123,79,64,21,4,66,40,13,9,12,9,3,0,0,0,0,1,3,5,6,6,1,1,0,0,0,4,2,0,1,0,0,0,4,1,123,0,21,17,17,17,0,0,0,2,0,1,0,3,3,2,6,6,1,6,6,1,0,0,0,0,0,0,1,1,0,1,1,0,4,4,0,22,29,0,0,0,0,33,1,0,0,0,0
sim-balanced-2p-004,playtester-bot-balance-2026-06-13-deal-04-2p,2,balanced,165,102,81,26,16,46,35,56,31,30,7,0,4,7,10,2,3,2,8,9,5,9,6,3,0,0,16,6,0,3,0,0,0,8,0,83,0,26,42,42,42,0,0,0,4,0,1,1,6,6,6,6,6,4,4,4,4,0,0,0,0,0,0,0,0,0,3,3,2,7,7,0,26,7,28,8,23,1,59,1,53,4,0,0
sim-balanced-3p-004,playtester-bot-balance-2026-06-13-deal-04-3p,3,balanced,266,146,128,44,10,133,82,13,1,54,3,15,7,15,9,5,4,0,11,11,6,11,10,1,0,2,10,10,0,4,1,0,0,11,1,89,0,43,72,71,69,0,0,0,8,0,3,0,9,9,9,9,9,1,10,10,0,0,0,0,0,0,0,1,1,0,3,3,0,12,11,0,30,0,32,12,48,5,96,24,35,20,52,6
sim-balanced-4p-004,playtester-bot-balance-2026-06-13-deal-04-4p,4,balanced,280,111,205,41,18,86,71,25,74,34,0,4,3,10,15,2,15,1,14,15,5,29,24,5,0,4,18,11,0,8,2,1,3,8,7,70,1,41,70,68,68,0,0,0,9,5,2,3,9,9,9,7,7,2,12,12,7,1,1,0,2,2,0,1,1,0,1,1,0,8,8,0,34,0,29,23,40,27,82,14,25,14,53,1
sim-balanced-1p-005,playtester-bot-balance-2026-06-13-deal-05-1p,1,balanced,138,75,87,23,5,75,45,0,27,19,15,0,1,3,0,0,6,2,4,5,4,7,6,1,0,0,5,2,0,2,2,0,0,3,0,138,0,22,17,17,17,0,0,0,2,2,3,1,3,3,2,6,6,0,6,6,3,1,1,0,2,2,0,0,0,0,1,1,0,4,3,0,25,26,0,0,0,0,33,1,0,0,0,0
